--- Simulation details ---

Horizon 0, [<16, [1, 1]>, 3], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0737, evb: 0.00000
Horizon 0, [<17, [1, 1]>, 0], q_old: 0.14, q_new: 0.42, gain: 0.0944, need: 0.0349, evb: 0.00330
Horizon 0, [<17, [1, 1]>, 1], q_old: 0.12, q_new: 0.12, gain: 0.0000, need: 0.0349, evb: 0.00000
Horizon 0, [<17, [1, 1]>, 2], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.0349, evb: 0.00000
Horizon 0, [<18, [1, 1]>, 0], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.3516, evb: 0.00000
Horizon 0, [<18, [1, 1]>, 3], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.3516, evb: 0.00000
Horizon 0, [<19, [1, 1]>, 0], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.5825, evb: 0.00000
Horizon 0, [<19, [1, 1]>, 2], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.5825, evb: 0.00000
Horizon 0, [<19, [1, 1]>, 3], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.5825, evb: 0.00000
Horizon 0, [<20, [1, 1]>, 0], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.3605, evb: 0.00000
Horizon 0, [<20, [1, 1]>, 2], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.3605, evb: 0.00000
Horizon 0, [<20, [1, 1]>, 3], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.3605, evb: 0.00000
Horizon 0, [<21, [1, 1]>, 0], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.1442, evb: 0.00000
Horizon 0, [<21, [1, 1]>, 2], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.1442, evb: 0.00000
Horizon 0, [<21, [1, 1]>, 3], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.1442, evb: 0.00000
Horizon 0, [<22, [1, 1]>, 0], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.0579, evb: 0.00000
Horizon 0, [<22, [1, 1]>, 2], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.0579, evb: 0.00000
Horizon 0, [<22, [1, 1]>, 3], q_old: 0.12, q_new: 0.12, gain: 0.0000, need: 0.0579, evb: 0.00000
Horizon 0, [<23, [1, 1]>, 0], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0211, evb: 0.00000
Horizon 0, [<23, [1, 1]>, 2], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0211, evb: 0.00000

Replay [<17, [1, 1]>, 0] horizon 0, belief , q_old: 0.14, q_new: 0.42, evb: 0.00330

Horizon 2, [<10, [2, 1]>, 0], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0222, evb: 0.00000
Horizon 2, [<10, [2, 1]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0298, need: 0.0222, evb: -0.00066
Horizon 2, [<10, [2, 1]>, 3], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0222, evb: 0.00000
Horizon 2, [<11, [2, 2]>, 0], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.0193, evb: 0.00000
Horizon 2, [<11, [2, 2]>, 2], q_old: 0.00, q_new: 0.72, gain: -0.0536, need: 0.0193, evb: -0.00104
Horizon 2, [<17, [1, 3]>, 0], q_old: 0.14, q_new: 0.21, gain: 0.0054, need: 0.0414, evb: 0.00022
Horizon 2, [<17, [1, 3]>, 1], q_old: 0.12, q_new: 0.12, gain: 0.0000, need: 0.0414, evb: 0.00000
Horizon 2, [<17, [1, 3]>, 2], q_old: 0.17, q_new: 0.17, gain: 0.0000, need: 0.0414, evb: 0.00000
Horizon 2, [<23, [1, 2]>, 0], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0233, evb: 0.00000
Horizon 2, [<23, [1, 2]>, 2], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0233, evb: 0.00000
Horizon 2, [<16, [1, 2]>, 1], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0802, evb: 0.00000
Horizon 2, [<16, [1, 2]>, 2], q_old: 0.20, q_new: 0.20, gain: 0.0000, need: 0.0802, evb: 0.00000
Horizon 2, [<16, [1, 2]>, 3], q_old: 0.14, q_new: 0.14, gain: 0.0000, need: 0.0802, evb: 0.00000
Horizon 1, [<11, [2, 1]>, 0], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.0193, evb: 0.00000
Horizon 1, [<11, [2, 1]>, 2], q_old: 0.00, q_new: 0.72, gain: -0.0536, need: 0.0193, evb: -0.00104
Horizon 1, [<17, [1, 2]>, 0], q_old: 0.14, q_new: 0.28, gain: 0.0231, need: 0.0414, evb: 0.00096
