--- Simulation details ---

Horizon 0, [<10, [1, 1]>, 3], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.0295, evb: 0.00000
Horizon 0, [<11, [1, 1]>, 1], q_old: 0.00, q_new: 0.44, gain: -0.0374, need: 0.0349, evb: -0.00131
Horizon 0, [<11, [1, 1]>, 2], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.0349, evb: 0.00000
Horizon 0, [<12, [1, 1]>, 1], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.1757, evb: 0.00000
Horizon 0, [<12, [1, 1]>, 3], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.1757, evb: 0.00000
Horizon 0, [<13, [1, 1]>, 2], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1262, evb: 0.00000
Horizon 0, [<13, [1, 1]>, 3], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.1262, evb: 0.00000
Horizon 0, [<14, [1, 1]>, 0], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.1817, evb: 0.00000
Horizon 0, [<14, [1, 1]>, 1], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.1817, evb: 0.00000
Horizon 0, [<14, [1, 1]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0357, need: 0.1817, evb: -0.00648
Horizon 0, [<17, [1, 1]>, 0], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.0411, evb: 0.00000
Horizon 0, [<17, [1, 1]>, 1], q_old: 0.00, q_new: 0.38, gain: -0.0349, need: 0.0411, evb: -0.00143
Horizon 0, [<18, [1, 1]>, 0], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.2503, evb: 0.00000
Horizon 0, [<18, [1, 1]>, 1], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.2503, evb: 0.00000
Horizon 0, [<20, [1, 1]>, 0], q_old: 0.00, q_new: 0.36, gain: 0.0463, need: 1.4319, evb: 0.06625
Horizon 0, [<20, [1, 1]>, 1], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 1.4319, evb: 0.00000
Horizon 0, [<23, [1, 1]>, 0], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.0564, evb: 0.00000
Horizon 0, [<23, [1, 1]>, 1], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.0564, evb: 0.00000
Horizon 0, [<24, [1, 1]>, 0], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.3538, evb: 0.00000
Horizon 0, [<24, [1, 1]>, 3], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.3538, evb: 0.00000
Horizon 0, [<25, [1, 1]>, 2], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.6074, evb: 0.00000
Horizon 0, [<25, [1, 1]>, 3], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.6074, evb: 0.00000
Horizon 0, [<26, [1, 1]>, 0], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.6731, evb: 0.00000
Horizon 0, [<26, [1, 1]>, 1], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.6731, evb: 0.00000
Horizon 0, [<26, [1, 1]>, 2], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 1.6731, evb: 0.00000
Horizon 0, [<26, [1, 1]>, 3], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.6731, evb: 0.00000
Horizon 0, [<27, [1, 1]>, 2], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.3259, evb: 0.00000
Horizon 0, [<27, [1, 1]>, 3], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.3259, evb: 0.00000
Horizon 0, [<28, [1, 1]>, 2], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.1388, evb: 0.00000
Horizon 0, [<28, [1, 1]>, 3], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.1388, evb: 0.00000
Horizon 0, [<29, [1, 1]>, 0], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.0940, evb: 0.00000
Horizon 0, [<29, [1, 1]>, 1], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.0940, evb: 0.00000
Horizon 0, [<29, [1, 1]>, 2], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.0940, evb: 0.00000
Horizon 0, [<32, [1, 1]>, 0], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.3418, evb: 0.00000
